user_name,user_id,knockout_match_id,picked_team_id,picked_team_name,round,bracket_slot,match_date,created_at,updated_at
Wyatt,5,105,33,France,r32,2,2026-06-30,2026-07-02T06:23:56.698842,2026-07-02T06:23:56.698842
Grandpa By,6,105,33,France,r32,2,2026-06-30,2026-07-02T06:24:35.673417,2026-07-02T06:24:35.673417
Grandma Cathy,7,105,33,France,r32,2,2026-06-30,2026-07-02T06:24:57.200652,2026-07-02T06:24:57.200652
Shawn,1,106,19,Ivory Coast,r32,10,2026-06-30,2026-07-02T06:22:06.625656,2026-07-02T06:22:06.625656
Jennie,2,106,19,Ivory Coast,r32,10,2026-06-30,2026-07-02T06:22:56.127381,2026-07-02T06:22:56.127381
Daphne,3,106,35,Norway,r32,10,2026-06-30,2026-07-02T06:23:22.922817,2026-07-02T06:23:22.922817
Elliot,4,106,35,Norway,r32,10,2026-06-30,2026-07-02T06:23:36.721635,2026-07-02T06:23:36.721635
Wyatt,5,106,35,Norway,r32,10,2026-06-30,2026-07-02T06:23:58.383860,2026-07-02T06:23:58.383860
Grandpa By,6,106,35,Norway,r32,10,2026-06-30,2026-07-02T06:24:34.760544,2026-07-02T06:24:34.760544
Grandma Cathy,7,106,35,Norway,r32,10,2026-06-30,2026-07-02T06:24:56.392978,2026-07-02T06:24:56.392978
Shawn,1,107,20,Ecuador,r32,11,2026-06-30,2026-07-02T06:22:10.335805,2026-07-02T06:22:10.335805
Jennie,2,107,20,Ecuador,r32,11,2026-06-30,2026-07-02T06:23:00.029313,2026-07-02T06:23:00.029313
Daphne,3,107,1,Mexico,r32,11,2026-06-30,2026-07-02T06:23:24.213822,2026-07-02T06:23:24.213822
Elliot,4,107,1,Mexico,r32,11,2026-06-30,2026-07-02T06:23:40.270867,2026-07-02T06:23:40.270867
Wyatt,5,107,1,Mexico,r32,11,2026-06-30,2026-07-02T06:23:59.917276,2026-07-02T06:23:59.917276
Grandpa By,6,107,20,Ecuador,r32,11,2026-06-30,2026-07-02T06:24:39.107904,2026-07-02T06:24:39.107904
Grandma Cathy,7,107,20,Ecuador,r32,11,2026-06-30,2026-07-02T06:25:00.465335,2026-07-02T06:25:00.465335
Shawn,1,108,45,England,r32,12,2026-07-01,2026-07-02T06:22:09.271365,2026-07-02T06:22:09.271365
Jennie,2,108,45,England,r32,12,2026-07-01,2026-07-02T06:23:05.782605,2026-07-02T06:23:05.782605
Daphne,3,108,45,England,r32,12,2026-07-01,2026-07-02T06:23:25.469467,2026-07-02T06:23:25.469467
Elliot,4,108,45,England,r32,12,2026-07-01,2026-07-02T06:23:41.122377,2026-07-02T06:23:41.122377
Wyatt,5,108,45,England,r32,12,2026-07-01,2026-07-02T06:24:01.502407,2026-07-02T06:24:04.108181
Grandpa By,6,108,45,England,r32,12,2026-07-01,2026-07-02T06:24:37.830961,2026-07-02T06:24:37.830961
Grandma Cathy,7,108,45,England,r32,12,2026-07-01,2026-07-02T06:25:01.603194,2026-07-02T06:25:01.603194
Shawn,1,109,13,USA,r32,7,2026-07-01,2026-07-02T06:22:13.213350,2026-07-02T06:22:13.213350
Jennie,2,109,13,USA,r32,7,2026-07-01,2026-07-02T06:23:03.377887,2026-07-02T06:23:03.377887
Daphne,3,109,13,USA,r32,7,2026-07-01,2026-07-02T06:24:16.686469,2026-07-02T06:24:16.686469
Elliot,4,109,13,USA,r32,7,2026-07-01,2026-07-02T06:25:54.940714,2026-07-02T06:25:54.940714
Wyatt,5,109,13,USA,r32,7,2026-07-01,2026-07-02T06:24:07.541113,2026-07-02T06:24:07.541113
Grandpa By,6,109,13,USA,r32,7,2026-07-01,2026-07-02T06:24:43.921727,2026-07-02T06:24:43.921727
Grandma Cathy,7,109,13,USA,r32,7,2026-07-01,2026-07-02T06:25:02.893093,2026-07-02T06:25:02.893093
Shawn,1,110,25,Belgium,r32,8,2026-07-01,2026-07-02T06:22:12.111954,2026-07-02T06:22:12.111954
Jennie,2,110,25,Belgium,r32,8,2026-07-01,2026-07-02T06:23:02.405706,2026-07-02T06:23:02.405706
Daphne,3,110,25,Belgium,r32,8,2026-07-01,2026-07-02T06:24:18.805992,2026-07-02T06:24:18.805992
Elliot,4,110,25,Belgium,r32,8,2026-07-01,2026-07-02T06:25:53.863793,2026-07-02T06:25:53.863793
Wyatt,5,110,34,Senegal,r32,8,2026-07-01,2026-07-02T06:24:06.591759,2026-07-02T06:25:48.725893
Grandpa By,6,110,25,Belgium,r32,8,2026-07-01,2026-07-02T06:24:45.914953,2026-07-02T06:24:45.914953
Grandma Cathy,7,110,25,Belgium,r32,8,2026-07-01,2026-07-02T06:25:03.894531,2026-07-02T06:25:03.894531
Shawn,1,111,46,Croatia,r32,5,2026-07-02,2026-07-02T06:22:15.005138,2026-07-02T06:22:15.005138
Shawn,1,112,29,Spain,r32,6,2026-07-02,2026-07-02T06:22:20.042246,2026-07-02T06:22:20.042246
Shawn,1,114,37,Argentina,r32,13,2026-07-03,2026-07-02T06:22:26.420502,2026-07-02T06:22:26.420502
Shawn,1,115,44,Colombia,r32,16,2026-07-03,2026-07-02T06:22:25.457630,2026-07-02T06:22:25.457630
Shawn,1,116,26,Egypt,r32,14,2026-07-03,2026-07-02T06:22:23.959777,2026-07-02T06:22:23.959777
